,label All-Distilroberta-v1 hdbscan_bayesian_optimisation,All-Distilroberta-v1 hdbscan_bayesian_optimisation
0,feel_job_friend_work,-1
10,pass_grade_time_project,9
26,thought_meal_husband_marriage,25
24,thinks_project_girlfriend_mother,23
23,like_effort_friend_year,22
40,failed_mistake_failure_idiot,39
28,feel_friend_people,27
25,took_justice_friend_kind,24
18,trust_feeling_sister_family,17
33,cares_impact_death_people,32
35,paid_job_interview,34
8,judging_thing_parent_self,7
30,deserve_mind_book_husband,29
44,gained_weight_diet_week,43
16,lose_job_sister_law,15
17,fired_job_failure,16
43,felt_attack_medication_patient,42
22,respect_commitment_plan_inconsiderate,21
47,thinks_break_boss_time,46
5,hate_appearance_voice_troll,4
2,look_essay_writer_writing,1
20,feel_person_mother_mom,19
42,worthlessness_divorce_life_abandonment,41
38,settle_job_college_kid,37
7,hate_republicans_human_relationship,6
36,hate_hope_loser_mind,35
13,insulting_boyfriend_friend,12
12,feel_identity_tire_month,11
9,explaining_material_people_speech,8
15,feel_commercial_kitchen_house,14
14,worry_one_family_member,13
4,cooperate_store_people_party,3
37,crying_cereal_time_shit,36
19,treating_business_friend_game,18
48,screwed_business_work_boss,47
49,messed_thing_time_work,48
27,valued_qualification_person_job,26
39,got_mark_fluke_improvement,38
6,posted_doughnut_meal_people,5
45,shows_job_meeting_jerk,44
46,goes_thing_people_way,45
11,feel_person,10
1,spends_time_kid_mother,0
29,m_chance_person_friend,28
34,going_possibility_future_panic,33
32,going_person_society,31
31,deserve_responsibility_co_-,30
41,hate_issue_thing_way,40
21,going_love_turning,20
3,know_thought_racing_drug,2
