,label all-mpnet-base-v2,all-mpnet-base-v2 k-mean,label all-MiniLM-L12-v2,all-MiniLM-L12-v2 k-mean,label All-Distilroberta-v1,All-Distilroberta-v1 k-mean
10,felt_job_work_boss,10,feel_job_person_life,10,worn_hair_kitchen_milder,10
5,lose_job_work,5,hate_thought_self_racing,5,want_friend_people,5
0,got_boyfriend_friend_husband,0,like_project_friend_girlfriend,0,feel_thing_failure_time,0
7,like_thing_girlfriend_friend,7,fired_job_work,7,going_job_work,7
3,ordered_dish_party_people,3,got_task_work_boss,3,got_grade_time_writing,3
12,going_thing_failure_time,12,gained_weight_kitchen_diet,12,feel_time_people_friend,12
4,hate_essay_self_person,4,got_boyfriend_husband,4,like_project_girlfriend_wife,4
9,thinks_time_sister_mother,9,posted_mistake_milder_people,9,feel_time_mother_kid,9
1,got_grade_writer_friend,1,going_progress_failure_age,1,felt_dog_friend_work,1
2,feel_thing_life_friend,2,feel_friend_way,2,feel_thought_time_racing,2
11,going_friend_person,11,got_grade_writing,11,hate_friend_person_girl,11
6,hate_joke_friend_parent,6,want_friend_party,6,got_time_husband_friend,6
8,gained_thought_racing_diet,8,feel_time_sister_mother,8,messed_mistake_work_boss,8
